b_plant1	b_plant2	b_plant3	b_plant4	b_fung1	b_fung2	b_fung3	b_fung4	b_eukar1	b_eukar2	b_eukar3	b_eukar4	b_insect1	b_insect2	b_insect3	b_insect4
-0.439250697	-0.48439868	-0.436284297	0.164786518	-0.518196291	0.221213108	0.529870821	-0.198237357	-0.847670806	-0.235773376	0.554601766	0.449809147	-0.03828821	-0.213298516	0.096369678	-0.147393146
-0.485431307	0.255850989	0.458675566	-0.373062374	0.570464769	0.224535508	-0.232436371	-0.091411052	1.261397944	1.187137908	0.245624872	-0.743580016	0.404642587	0.269929303	-0.212312705	-0.135529591
-0.710273714	-0.169670365	0.831967372	0.265823439	0.164533198	0.639386515	-0.41969807	-0.392356025	0.066221909	1.610941853	1.058180833	-0.497040484	0.268979734	-0.032910275	0.253190869	-0.043623178
0.65756218	1.018140561	-0.221246215	0.583626571	0.657235364	-0.156407546	0.500642639	0.047182952	1.115473926	-0.542093218	0.176678461	0.731701866	-0.319776096	0.063092318	0.114419633	0.15164063
-0.547378737	0.416460086	0.467880654	-0.559001389	0.406646534	0.546823977	-0.198359113	0.183887451	1.609621234	1.519279426	0.157305927	-0.272642223	0.163152127	0.312321367	0.098119437	-0.081412552
-0.570206028	0.487754899	-0.464309404	0.150945888	0.676995589	-0.07692595	0.555324593	-0.216358526	0.828649404	-0.596555031	0.328441405	0.535247267	-0.258018565	0.014233671	0.27186843	-0.171035991
-0.469626315	0.219473638	0.32420186	-0.095423025	0.70440839	0.047987752	-0.340974604	0.069223209	1.155581725	0.446482758	-0.23812133	-0.359697605	0.139227502	0.170323713	-0.038264364	-0.210738196
-0.358090411	-0.267732723	0.765456877	0.183270497	-0.204035022	0.711851274	-0.257513217	-0.493170725	-0.372571973	0.833615704	0.421786353	0.145399623	0.305678843	-0.04708582	0.092793935	-0.0690605
0.070232731	-0.621811742	-0.758439899	0.15683532	-0.817243088	-0.09945835	-0.065789441	0.114146806	-1.526212255	-0.460196584	-0.1992503	-0.335420808	0.006799668	-0.259876951	-0.045176138	-0.066447716
-0.520402897	0.09467026	-0.515464847	0.133128424	0.300688982	-0.082035348	0.54065973	0.054851881	0.596299382	-1.00200173	0.347470996	-0.527457974	-0.29292113	-0.040042495	-0.035457064	-0.198572271
-0.557948692	-0.427137434	-0.029857913	0.11082262	-0.778508678	0.441222794	0.175660752	0.115800197	-1.123140257	0.341283848	0.14198394	0.261571454	0.126367393	-0.212220049	0.127676472	-0.025514889
