NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130	OTU_ID	pident	kingdom	phylum	class	order	family	genus	species	alternatives	redundancy
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9d44b33593fff499a6ddc5581e2aad92092b10ad	99.554	Viridiplantae	Streptophyta	NA	Lamiales	Orobanchaceae	Rhinanthus	ambiguous_Rhinanthus_sp	Rhinanthus minor, 4, 99.554, Rhinanthus glacialis, 1, 99.554, Rhinanthus major, 1, 99.554, Rhinanthus serotinus, 1, 99.554, Rhinanthus sp. Gaudeul 29, 1, 99.554, Rhinanthus minor, 2, 99.107, Rhinanthus crista-galli, 1, 99.107, Rhinanthus rumelicus, 1, 99.107, Rhinanthus minor, 1, 98.661	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	23	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61745c31bca087bb9cb230bfdb8464a51e98b546	98.529	Viridiplantae	Streptophyta	NA	Fagales	Fagaceae	Quercus	Quercus petraea	Quercus petraea, 1, 99.020, Quercus petraea, 1, 98.529, Quercus pubescens, 1, 97.059, Quercus pyrenaica, 1, 97.059	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cabbc522ff281608f988c90558d94eb53dfd6dba	100	Viridiplantae	Streptophyta	NA	Caryophyllales	Caryophyllaceae	Stellaria	Stellaria alsine	Stellaria alsine, 6, 100	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379c199f3b53804a17e24650cb88d36fd5a4b27d	100	Viridiplantae	Streptophyta	NA	Caryophyllales	Polygonaceae	Persicaria	Persicaria maculosa	Persicaria maculosa, 3, 100.000, Persicaria hydropiper, 2, 100.000, Persicaria maculosa, 6,  99.582, Persicaria hydropiper, 1,  99.582, Persicaria longiseta, 2,  99.163, Persicaria japonica, 1,  99.163, Persicaria macrantha, 1,  99.163, Persicaria posumbu, 1,  99.163, Persicaria tinctoria, 1,  99.163, Persicaria longiseta, 7,  98.745, Persicaria posumbu, 2,  98.745, Persicaria jucunda, 1,  98.745, Persicaria kawagoeana, 1,  98.745, Persicaria pubescens, 1,  98.745, Persicaria tinctoria, 1,  98.745, Persicaria tinctoria, 2,  98.326, Persicaria jucunda, 1,  98.326, Persicaria longiseta, 1,  98.326	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2664826d3975ceac460e0be4af6fbeadfec773d1	100	Viridiplantae	Streptophyta	NA	Lamiales	Plantaginaceae	Veronica	Veronica montana	Veronica montana, 4, 100.000, Veronica montana, 1,  99.526	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65ec9bcd26f37f3d1955e97af5757abce3b1b99e	100	Viridiplantae	Streptophyta	Liliopsida	Asparagales	Orchidaceae	Platanthera	Platanthera chlorantha	Platanthera chlorantha, 7, 100.000, Platanthera bifolia, 5, 100.000, Gymnadenia conopsea, 1, 100.000, Platanthera chlorantha, 6,  99.578, Platanthera chlorantha, 1,  99.156, Platanthera chlorantha, 1,  98.734	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5b07093be2b2e4da28d0126312e6a59aff55963c	100	Viridiplantae	Streptophyta	NA	Saxifragales	Saxifragaceae	Chrysosplenium	Chrysosplenium alternifolium	Chrysosplenium alternifolium, 1, 100.00, Chrysosplenium alternifolium, 1,  99.58, Chrysosplenium iowense, 1,  99.58	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80be1cf21eebf78f7ddd210be77e672d026971e5	95.928	Viridiplantae	Streptophyta	NA	Rosales	Urticaceae	Laportea	unmatched_Laportea_sp	Laportea canadensis, 3, 95.928	2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36bd1fa5fadcca372b9534a5f30205b2e6717aef	100	Viridiplantae	Streptophyta	NA	Saxifragales	Saxifragaceae	Saxifraga	Saxifraga cespitosa	Saxifraga cespitosa, 17, 100.000, Saxifraga rosacea,  6, 100.000, Saxifraga granulata,  2, 100.000, Saxifraga cespitosa,  1,  99.571, Saxifraga cespitosa,  2,  99.569, Saxifraga granulata,  1,  99.569, Saxifraga moschata,  1,  99.569, Saxifraga sedoides,  1,  99.569, Saxifraga hartii,  1,  98.707, Saxifraga graeca,  1,  98.291, Saxifraga granulata,  1,  98.276	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577e035f410ed7f13e3889b173f692d408221fe0	89.604	Viridiplantae	Streptophyta	NA	Asterales	Asteraceae	unmatched	unmatched_Asteraceae_sp	Achillea biserrata, 1, 89.604, Achillea ptarmicifolia, 1, 89.604, Achillea cretica, 1, 89.109, Achillea salicifolia, 1, 89.109, Archanthemis fruticulosa, 1, 89.109, Achillea ptarmica, 4, 88.614, Achillea acuminata, 1, 88.614, Achillea impatiens, 1, 88.614, Achillea pseudoaleppica, 1, 88.614, Achillea pyrenaica, 1, 88.614, Achillea salicifolia, 1, 88.614, Achillea schurii, 2, 88.119, Cota triumfettii, 1, 87.685	1
