"Data...1." "N" "NSE" "M" "MSE" "R" "RSE" "L" "LSE"
"1" 1 2.51581406179563 1.06216179615132 5.18564868213748 0.982955553899095 3.91264045442426 0.832451281612453 6.73881457224133 0.0957536490849616
"2" 2 4.12614740042305 1.0554361700791 7.06224520728431 0.96870573593363 5.89821174013541 0.83062832717849 6.31232503593879 0.0861004051421505
"3" 3 3.20015165066562 1.07792049617884 8.19495677942107 0.99116614727105 4.71360459724648 0.83927713755594 6.73933435932013 0.109264408266822
"4" 4 6.89768766443869 1.06969117626845 4.63911810119199 0.981371897723371 6.50532001869509 0.832548165209825 6.46606647134416 0.0871022211653165
"5" 5 4.39880513166073 1.04590306848214 7.35569438464525 0.983013206657851 5.05498331958479 0.82637870476689 6.73693083558257 0.0865781642062152
"6" 6 4.13882250132819 1.06499392461377 4.70623106400822 0.984612077544234 6.56398220468723 0.814955942370408 6.67570638638364 0.0978563227524899
"7" 7 4.02775038635869 1.0423062755963 7.04312112395417 0.974571742196598 6.32405364045914 0.832412510896061 6.11832998454737 0.0884341947139398
"8" 8 3.45322214756131 1.07017746824012 7.90315651659119 0.989527882480743 3.91711363240026 0.817109398115036 6.61069781282453 0.1251677272437
"9" 9 2.76748368355878 1.05127982963656 6.14098755313103 0.968763080739491 3.65609227958257 0.833240994564211 5.48138786144988 0.0980735781503344
"10" 10 3.44910751571911 1.0613979104207 4.63567064132981 0.98082295549344 5.73728413891277 0.828051063916662 6.5570817616228 0.0848317923030745
"11" 11 2.60884573085212 1.05697339447632 6.2826483031566 0.979764203933809 3.00162475426952 0.832057672398885 6.45602431984579 0.0868971172473383
"12" 12 2.52345924098755 1.05790798152398 6.47767916376097 0.980944232022975 2.92057938214665 0.839069414097495 6.45262509911604 0.0905625318048125
"13" 13 3.43760887042297 1.05215618626273 7.48606880599293 0.977648993456439 4.06324147678085 0.818803608724813 5.67497167005669 0.102921598240354
"14" 14 2.23176652238222 1.06396816716261 5.21969847043079 0.980076457933581 3.30850183682002 0.806603824923244 7.00462947617863 0.111781548432968
"15" 15 2.16194647746373 1.06197908949009 5.01225265582338 0.97344920005624 3.35133140092324 0.834776523132359 7.01998405052054 0.121512779433443
"16" 16 4.53797863693811 1.06089066466936 4.77095666988097 0.985478528850045 6.09959175704938 0.831772384732223 6.52118080220119 0.0906761219038733
"17" 17 3.58850382586166 1.05215036690988 5.9094414692373 0.97600564913317 3.93771444120041 0.820102574995304 5.09565126770734 0.0912153469162681
"18" 18 3.98635231122173 1.04711383036335 5.80255542850419 0.974557633045253 4.71236155528215 0.835121967447289 6.52153200533669 0.0820100979362732
"19" 19 5.3320989645875 1.06583125854631 4.57668787369088 0.998474119200032 5.80665617490272 0.851697852786145 4.51407724109095 0.132470058662161
"20" 20 4.77570537053939 1.06175347217778 5.40499486291483 0.981083657737992 4.86135923698394 0.835192410305014 4.51989626731828 0.0790689934185956
"21" 21 5.19364821965635 1.06616244136938 5.78821864679466 0.983157935805578 5.122276642145 0.836053834397993 4.43513642483793 0.0828829238389584
"22" 22 4.59417539428932 1.05326766739561 6.52751254332705 0.978101300053026 4.1959038362592 0.837859349984361 4.62571037911387 0.0978350590668602
"23" 23 4.9873932903087 1.05450949023079 7.88355016382682 0.981769588996433 5.36830376496128 0.827609918864129 6.06156572497947 0.100907941035577
"24" 24 5.04930629857844 1.05449599283168 4.97062423674163 0.982141815254417 6.40426820454724 0.83544478326513 4.96728544842546 0.0917422606050558
"25" 25 4.78022113599794 1.05958905833751 7.2974381650646 0.973153667053212 6.26634183553114 0.832086296337841 6.46852232043426 0.0921537208934406
"26" 26 4.89083639540335 1.05993703523214 5.66863894357112 0.983549452362126 4.75323527975555 0.838231640565177 4.23705564732428 0.0905544711176645
"27" 27 2.49528156182813 1.0612195129288 5.22542644693198 0.982738020473611 3.54560735985816 0.824791944903799 6.67530450962732 0.0963430517336447
"28" 28 3.08366103036393 1.04590428162749 8.38153776361684 0.995788370059945 3.62851974566684 0.83980774040074 6.71484234384232 0.131775279811234
"29" 29 6.51218024556864 1.07598954480881 5.43381148039834 0.963506608775609 6.27226300075708 0.830722859755197 6.40525617343129 0.0756377180581336
"30" 30 1.92654264392023 1.0647727423568 5.42990412301972 0.977019940776582 3.31537870501483 0.832856867138985 6.46588254899264 0.0910279156799696
"31" 31 4.13474020341464 1.05882319970765 7.89496853997257 0.993039583854172 5.93412192547699 0.832940279266146 6.08960474091587 0.107941562119017
"32" 32 3.77603126516692 1.06969497979324 8.15261557237411 0.98837996635659 5.5186436229631 0.821546410224569 6.23265721224939 0.11263717501081
"33" 33 4.66562370190573 1.06073382152891 7.36274664334198 0.985247795835744 5.36484748325086 0.832993475388689 5.72014406779676 0.0890930417355148
"34" 34 3.53417166607634 1.0612938587646 5.79334189436843 0.985885706942407 5.39524778004872 0.835571688433379 6.25806560375336 0.0869885077597715
"35" 35 4.15195834536602 1.05681204875019 6.12259161333213 0.967000644293381 4.02900286214151 0.834450603410994 5.01416228380377 0.0874145759316076
"36" 36 3.74092232477115 1.0525515752951 8.29187811603162 0.97649671647285 5.76554052046986 0.834407197747959 6.86306786311941 0.106750179204417
"37" 37 3.40217985388293 1.0650528060553 8.50061643669788 0.990446153443746 4.93520948620489 0.842299373700222 6.93428894666579 0.137710865951849
"38" 38 3.95732047074173 1.05512959828556 7.7383638887669 0.977569759866093 5.60105919539429 0.837397401960015 6.74607249402176 0.0966525071942928
"39" 39 3.55868037181037 1.05101256839993 6.29838998104458 0.969603246684982 4.13544423279752 0.828405733580666 5.07479823069933 0.0843937779385796
"40" 40 5.10175886605077 1.05560841095087 6.12423787233022 0.976213464026558 5.79612675388113 0.832194733265859 6.37526259436431 0.0889859728930651
"41" 41 3.34271861184322 1.06283093782914 4.85369904582271 0.984867363686284 5.64398335885446 0.826895394397277 7.20161807946652 0.101874710387777
"42" 42 1.90169603363274 1.06541130865493 6.74932466933112 0.966265143737355 2.57497886277935 0.847776368752544 6.90092881263777 0.125270713363459
"43" 43 4.90740455739322 1.04524847541038 6.83961904098939 0.985172214131374 4.83739274679065 0.836903711748303 5.53848810456266 0.101182759209288
"44" 44 3.95384704666637 1.04477469571687 5.63588359739315 0.981289252473428 4.42438032371939 0.831714294501732 6.30096367718665 0.0749597739682436
"45" 45 2.53284064553605 1.05768507875357 6.36741618969968 0.980740636067289 3.40730394215006 0.835591757910136 6.70859528959191 0.0818219175948231
