"Site_nr" "site_name" "HighForest" "HFclass" "HFpost" "Forest" "Foclass" "Fopost" "Agriculture" "Agclass" "Agpost" "Coniferous" "Beech" "Beclass" "Bepost" "Oak" "Oaclass" "Oapost" "Willow" "Wiclass" "Wipost" "Heathland" "Dwarfshrubs" "DSclass" "DSpost" "Alder" "Alclass" "Alpost" "Phragmites" "Phclass" "Phpost" "Atlantic" "Jutland" "Jyclass" "Jypost"
"30" 30 "Lilleaa" 0 1 0.000144623169047906 0 1 0.00339408509086023 0 1 2.12819493400592e-12 0 0 1 0.0958291238410236 0 1 0.00356909944807929 0 1 4.43981808664462e-27 1 1 2 0.925421987923167 0 1 2.27407634109455e-05 0 1 4.43981808664462e-27 1 1 2 0.796161695297061
"31" 31 "Ejstrup_Eng" 0 1 0.000210780437816014 0 2 0.598162382747383 0 1 1.28699308981699e-18 0 0 1 0.0036563996428702 0 1 1.40259221539419e-07 0 1 0.357526139542112 0 0 1 0.00768336199027964 0 2 0.726112287658955 0 1 0.357526139542112 1 1 2 0.975890022196722
"32" 32 "Ejstrup_Krat" 0 1 1.47144771198424e-05 0 2 0.814167784374511 0 1 1.17338641125362e-26 0 0 1 0.0112936638003302 0 1 3.5445127801915e-07 1 2 0.801358859703523 0 0 1 0.0161472731829311 0 2 0.722140997150448 1 2 0.801358859703523 1 1 2 0.920871712853319
"33" 33 "Nissum" 0 1 0.00698025575393943 0 2 0.97685281898146 0 1 2.80691234160623e-20 0 0 1 0.016991315883409 0 1 0.00081748243675473 1 1 0.00290062804305615 0 0 1 0.0102531318038166 0 1 0.492214486207585 0 1 0.00290062804305615 1 1 2 0.973922589081119
"34" 34 "Klitvej" 0 1 0.00266160412353194 0 1 9.41209544093676e-05 1 1 0.067646319538077 0 0 1 0.00596294739904029 0 1 2.76078567612068e-05 0 1 1.18676637734003e-33 0 0 1 0.115839605565744 0 1 0.000105010604360559 1 1 1.18676637734003e-33 1 1 2 0.883531463642764
"35" 35 "Straasoe_Plantage" 0 1 0.483244087745549 1 2 0.999908019430311 0 1 2.21531787542787e-09 0 1 1 0.138886795784565 0 1 0.420913189631558 0 1 0.000160323924552929 0 0 1 0.0194533591095511 0 1 0.0265595789394744 0 1 0.000160323924552929 1 1 2 0.811304445943369
"36" 36 "Nymindegab" 0 1 3.9044018604671e-07 0 1 0.00125739470728026 0 1 9.11098628007295e-15 0 0 1 0.00527813294118966 0 1 1.98584167667089e-16 0 1 0.0207319673365205 0 1 1 0.00129090114298295 0 2 0.753876396072868 1 1 0.0207319673365205 1 1 2 0.999938262512704
"37" 37 "Houstrup_Strand" 0 1 1.01765489457483e-08 0 1 0.000273793391222769 0 1 2.25835370291443e-25 0 0 1 0.000110353257493532 0 1 1.83132261075156e-17 0 1 0.030502453789234 0 1 1 0.167793341619733 0 2 0.632594744906789 1 1 0.030502453789234 1 1 2 0.990723146439504
"38" 38 "Vroegum_Kaer" 0 1 6.68097913128251e-06 0 1 7.94643811468964e-05 0 1 1.66399986425223e-09 0 0 1 0.00148598897277589 0 1 1.67778114600577e-15 0 1 1.04373689708502e-08 0 0 1 0.0809386974595901 0 1 0.299720443058264 0 1 1.04373689708502e-08 1 1 2 0.995149450329196
"39" 39 "Kjaergaard_Loevklitter" 0 1 0.371047101829777 1 2 0.999793217341144 0 1 1.66295483843089e-07 0 0 1 0.129552220631021 1 1 0.294050403769787 0 1 0.000514533177781161 0 0 1 0.0228496346879199 0 1 0.0395460071419249 0 1 0.000514533177781161 1 1 2 0.584247591912071
"40" 40 "Loenne" 0 1 0.00288220617322224 0 1 1.56440864356427e-05 1 2 0.594614791536023 0 0 1 0.0109423968539114 0 1 2.47723743288094e-08 0 1 3.14137852148779e-31 0 0 1 0.0343501629406678 0 1 0.000486221369904703 0 1 3.14137852148779e-31 1 1 2 0.943790104664513
"41" 41 "Blaavand" 0 1 9.86405327724139e-07 0 1 3.33418127773382e-10 0 1 0.0147096186372504 0 0 1 0.0563215462975011 0 1 3.49746727036932e-08 0 1 2.72829582669564e-73 0 1 1 0.0111793347005406 0 1 2.21892201966528e-09 0 1 2.72829582669564e-73 1 1 1 0.39384483733007
"42" 42 "Breddal" 0 1 6.65102714570107e-08 0 1 1.5189164762968e-05 0 1 1.07006163331461e-23 0 0 1 0.0116117745055214 0 1 1.92027994181507e-10 0 1 1.84202890951634e-14 0 1 2 0.977381521193485 0 1 0.00128190566038382 0 1 1.84202890951634e-14 1 1 2 0.737099147129987
"43" 43 "Filsoevej" 0 1 0.0563816413290474 1 2 0.942727921758026 0 1 4.38787764690045e-08 0 0 1 0.00932298793462827 1 1 2.51314897583384e-09 0 1 4.36193114318107e-05 0 0 1 0.0526820395571871 0 1 0.122276444791646 0 1 4.36193114318107e-05 1 1 2 0.838411625843276
"44" 44 "Lovrup" 0 1 0.000854610943362922 0 1 0.000915526539669028 0 1 0.000329558688429401 0 0 1 0.0173737730907755 0 1 0.00172726823966182 0 1 5.45548108588247e-30 0 0 2 0.610910472956855 0 1 6.42671026646388e-05 0 1 5.45548108588247e-30 1 1 2 0.528320162035706
"45" 45 "Helm_Hede" 0 1 4.84375976712163e-06 0 1 4.23068062446875e-05 0 1 3.52673215438243e-14 0 0 1 0.00640625477017675 0 1 2.00514326337427e-07 0 1 1.13376337981064e-20 1 1 2 0.942790756559681 0 1 0.000448779654417611 0 1 1.13376337981064e-20 1 1 1 0.317082849578989
"46" 46 "Lindestykket" 0 1 0.467914719674622 1 2 0.999989560531067 0 1 1.31782721437994e-07 0 0 1 0.126515565682864 1 2 0.507869572416821 0 1 0.0716240041856773 0 0 1 0.000405785239594701 1 1 0.159891468168413 0 1 0.0716240041856773 1 1 2 0.537521959346038
"47" 47 "Lindet" 1 2 0.694169431598364 1 2 0.999990688974611 0 1 0.000273686324787136 0 0 1 0.126068518606757 1 1 0.492281638023813 0 1 0.00023153312604901 0 0 1 0.0019067652755667 0 1 0.0485183283105513 0 1 0.00023153312604901 1 1 2 0.504362542861505
"48" 48 "Gram_Slot" 0 2 0.83355779312785 1 2 0.999997740299233 0 1 4.34575825050125e-14 0 1 1 0.103242080295543 0 2 0.562437815376081 0 1 6.32377687869335e-05 0 0 1 0.000209369255128885 0 1 0.077001218877388 0 1 6.32377687869335e-05 1 1 1 0.330456577037726
"49" 49 "Groennevej" 1 2 0.722137606724311 1 2 0.999947391780839 0 1 7.60025320689757e-09 0 0 1 0.120251466043817 1 1 0.427961197980689 0 1 7.39952562460179e-06 0 0 1 0.000366401683409372 1 1 0.0783221414509099 0 1 7.39952562460179e-06 1 1 1 0.407348949645402
"50" 50 "Graabjerg_Mose" 0 1 0.0283070797637931 1 2 0.999911573083893 0 1 5.08517824311515e-22 0 0 1 0.142629720327109 0 1 0.317362023918966 0 1 0.399243469700747 0 0 1 0.00639749368842095 0 1 0.1458505772434 1 1 0.399243469700747 1 1 1 0.401142876716158
"51" 51 "Gram_aa" 0 1 0.00760804635687282 0 2 0.999919914472545 0 1 1.53877877789054e-11 0 0 1 0.127302151661483 0 1 0.000321442522293825 0 2 0.702799889815027 0 0 1 2.46889897166386e-05 1 2 0.740778229409001 1 2 0.702799889815027 1 1 2 0.583994693441862
"52" 52 "Damvej" 0 1 0.205680305259832 1 2 0.99875209179492 0 1 4.51374250912237e-08 1 0 1 0.115318671868333 0 1 0.17988606729963 0 1 1.09032806789778e-05 0 0 1 0.155197617091459 0 1 0.010595781816173 0 1 1.09032806789778e-05 1 1 1 0.423841114685744
"53" 53 "Elbjerg" 0 1 0.000840309371753021 0 1 1.34171950608328e-05 0 1 0.433853151569813 0 0 1 0.0500962593328255 0 1 0.00108406483946725 0 1 2.8300822101717e-56 0 0 1 0.0180864351838745 0 1 2.05389547645877e-07 0 1 2.8300822101717e-56 0 1 1 0.492888524175451
"54" 54 "Kaloe" 0 1 0.0160401057732865 0 1 6.93540525325051e-07 1 2 0.586706478590088 0 0 1 0.144905264721898 0 1 1.44296029451278e-09 0 1 8.12054790172282e-49 0 0 1 0.000521967799040189 0 1 8.03655263628496e-06 0 1 8.12054790172282e-49 0 1 1 0.297067814348546
"55" 55 "Glatved" 0 1 0.026469156632193 0 1 0.000160637771686251 0 1 0.000146311071530383 1 0 1 0.000212358318613121 0 1 0.000172876261947866 0 1 6.03567699108743e-48 0 0 1 0.00146702728274576 0 1 4.44048346782531e-06 0 1 6.03567699108743e-48 0 1 2 0.617412953548668
"56" 56 "Hestehaven" 1 2 0.867208700977255 1 2 0.999945671647462 0 1 2.37105908502132e-07 0 1 1 0.0655289395316718 0 1 0.132467945374959 0 1 3.24634036584025e-12 0 0 1 9.13737544284474e-06 0 1 0.058801281714267 0 1 3.24634036584025e-12 0 1 1 0.382099908384043
"57" 57 "Helligkilde" 0 1 0.00418300070510752 0 1 0.0175141076008396 0 1 8.67754897544187e-05 0 0 1 0.0414486163338878 0 1 0.0239182984202629 0 1 1.73498394515689e-27 0 1 1 0.438898539616713 0 1 9.57606435989996e-05 0 1 1.73498394515689e-27 0 1 2 0.55987287342119
"58" 58 "Tyskertaarnet" 0 1 0.00955119521294149 0 1 2.27889407069859e-06 0 1 0.0112120058486431 0 0 1 0.134509824117638 0 1 2.03667669425542e-06 0 1 5.21963586856765e-61 0 0 1 0.000246369803843068 0 1 1.93032647370934e-07 0 1 5.21963586856765e-61 0 1 2 0.527213508655752
"59" 59 "Sletterhage" 0 2 0.552374727064583 0 2 0.896367243783095 0 1 3.91550726274513e-06 0 0 1 0.116159245340143 0 1 0.0125440761220885 0 1 3.59862519179717e-16 0 0 1 0.00109338076992708 0 1 0.022180640531857 1 1 3.59862519179717e-16 0 1 2 0.843137831663854
"60" 60 "Strandkaer" 0 1 0.00162819394110666 0 1 2.11277943750146e-05 0 1 0.000150787295143437 0 0 1 0.00341675634279686 0 1 2.40601003656774e-12 0 1 3.50896546911517e-21 0 0 1 0.0114062597954766 0 1 0.015441180983654 0 1 3.50896546911517e-21 0 1 2 0.673842037804463
"61" 61 "Langemose" 0 1 9.72071987957874e-08 0 1 0.00788633517402018 0 1 6.06734097729464e-44 0 0 1 0.0926059335261602 0 1 3.22982217610924e-11 0 1 0.265932370057347 0 0 2 0.787689709776677 0 1 0.333751502812015 0 1 0.265932370057347 0 1 1 0.384670585186592
"62" 62 "Urfuglebakken" 0 1 1.55383908645374e-06 0 1 3.75406768578335e-05 0 1 2.90568146118784e-08 0 0 1 0.0790727638126338 0 1 0.00106625139147416 0 1 9.22449511287531e-40 1 0 2 0.989285062546149 0 1 4.18687940729756e-07 0 1 9.22449511287531e-40 0 1 2 0.735604455153749
"63" 63 "Letmose" 0 1 6.66145637165328e-11 0 1 1.07636400107319e-05 0 1 2.14000036141294e-18 0 0 1 0.00223061520289214 0 1 6.01313891323476e-17 0 1 2.99688097106875e-05 0 0 2 0.993465196913161 0 1 0.0396926463299559 0 1 2.99688097106875e-05 0 1 2 0.562477577055001
"64" 64 "Mossoe" 0 1 0.000111279702360938 0 1 8.41490419014737e-05 0 1 1.51787284225936e-08 0 0 1 0.000597380723383138 0 1 3.59129125497522e-11 0 1 1.20950911110658e-14 0 0 1 0.177184953026491 0 1 0.0421743989244631 0 1 1.20950911110658e-14 0 1 2 0.862762675163653
"65" 65 "Toervefladen" 0 1 2.42476025840652e-06 0 1 0.000122280723194538 0 1 1.24433354251261e-14 0 0 1 0.0108513846742655 0 1 1.45414504959433e-10 0 1 1.58305634898612e-10 0 0 2 0.854885169540433 0 1 0.0298351023214431 0 1 1.58305634898612e-10 0 1 2 0.774132327274918
"66" 66 "Odderholm" 0 1 0.000491544787683583 0 1 0.00772667359947388 0 1 5.37908746889247e-15 0 0 1 0.00159972082079925 0 1 6.8918063245153e-10 0 1 8.94491842568819e-07 0 0 1 0.0348416024433654 1 1 0.300509410129269 0 1 8.94491842568819e-07 0 1 2 0.540414857655649
"67" 67 "Hoejkol" 0 1 0.000247541803182401 0 1 0.022517940713938 0 1 1.17764487446629e-12 1 0 1 0.0983531055939919 0 1 0.0711338841264912 0 1 8.69185622587794e-34 0 1 2 0.851015847582365 0 1 2.64853905877182e-06 0 1 8.69185622587794e-34 0 1 2 0.555313444328765
"68" 68 "Haarup_Sande" 1 1 0.000403982647712321 1 2 0.697846950879432 0 1 4.39343426921301e-13 1 0 1 0.0981421838537771 0 1 0.0158840021587087 0 1 1.7101663686891e-10 0 1 2 0.6979547679979 0 1 0.00178287351350851 0 1 1.7101663686891e-10 0 1 1 0.399444461461787
"69" 69 "Knagerne" 1 2 0.742503118843996 1 2 0.999990380547914 0 1 0.000223992088119093 0 1 1 0.117457307175868 0 1 0.458171183911042 0 1 7.86887533295149e-08 0 0 1 0.00429203213894765 0 1 0.0100368085426758 0 1 7.86887533295149e-08 0 1 2 0.57549777095032
"70" 70 "Gjessoevej" 0 1 0.000126760028550103 1 2 0.995372429226653 0 1 1.24187029642626e-15 0 0 1 0.039873537966016 0 1 0.00284292061345365 1 2 0.506826777979811 0 0 1 0.00632125274182553 0 1 0.498757796856273 0 2 0.506826777979811 0 1 2 0.799849674779118
"71" 71 "Bjergfald" 0 2 0.864225727920855 1 2 0.99999379686607 0 1 0.116159078655391 0 1 1 0.015304748702054 0 1 0.20920367584226 0 1 9.00028659264172e-07 0 0 1 6.78256796876131e-06 1 1 0.151662527569651 0 1 9.00028659264172e-07 0 1 2 0.826749713537689
"72" 72 "Vejle_Fjord" 1 2 0.502997669645182 1 2 0.995174336786214 0 1 6.22717013778305e-10 0 0 1 0.109008186149207 0 1 0.00105516136791126 0 1 1.98473685447296e-07 0 0 1 1.30375432841253e-05 1 1 0.296813363372586 0 1 1.98473685447296e-07 0 1 1 0.446529889563407
"73" 73 "Broendsted_Faelled" 0 1 0.000110682846386823 0 1 5.12130896476765e-06 1 2 0.753250319054137 0 0 1 0.0202555651898178 0 1 0.000875601838145641 0 1 8.96922814737806e-53 0 0 1 0.191340448837913 0 1 2.7077858984403e-07 0 1 8.96922814737806e-53 0 1 1 0.454456426227521
"74" 74 "Rands_Fjord" 0 1 3.65708631759315e-07 0 1 0.000933567285805417 0 1 2.27145052595419e-19 0 0 1 0.0257507946263517 0 1 1.11678807718697e-16 0 1 0.0119485365637683 0 0 1 0.0496835685898974 1 2 0.667985609349817 1 1 0.0119485365637683 0 1 2 0.827747159149689
"75" 75 "Svinholt" 0 1 0.00561865278341345 0 1 2.22276439175655e-05 0 2 0.855439444580567 0 0 1 0.0296684361055062 0 1 5.25864366898963e-05 0 1 9.85485310112631e-48 0 0 1 0.00870119334764706 0 1 3.71430910557928e-06 0 1 9.85485310112631e-48 0 1 1 0.350811884415942
"76" 76 "Vesterskov" 1 2 0.86071027784907 1 2 0.999996663882225 0 1 0.000185347318299343 0 1 1 0.0999447474521746 0 1 0.443693301770651 0 1 3.98020198759413e-08 0 0 1 4.47179335931216e-05 0 1 0.0632933928332233 0 1 3.98020198759413e-08 0 1 1 0.380085171283846
"77" 77 "Rand_Skov" 1 2 0.708006779153205 1 2 0.999939583664397 0 1 1.6178321538048e-06 1 0 1 0.00622587829831528 0 2 0.577876915565342 0 1 3.87843228933443e-14 0 0 1 0.0018033343575563 0 1 0.00432259544362197 0 1 3.87843228933443e-14 0 1 2 0.516171350808248
"78" 78 "Grund_Skov" 1 2 0.744533652645625 1 2 0.999900981044683 0 1 3.34590234361607e-07 0 0 1 0.111730470895187 1 2 0.517797402282762 0 1 9.29392470833454e-14 0 0 1 0.00110500343373055 0 1 0.00736883694065735 0 1 9.29392470833454e-14 0 1 2 0.502552359454897
"79" 79 "Melby_Hede" 0 1 2.29548261648906e-07 0 1 5.12086635981353e-07 0 1 2.72658882735171e-05 0 0 1 0.0335056575221042 0 1 0.000245469606666636 0 1 1.96116501663014e-51 0 1 2 0.945350590753927 0 1 4.79729375629142e-08 0 1 1.96116501663014e-51 0 0 2 0.602441539784461
"80" 80 "Melby_Overdrev" 0 1 9.96813237255027e-06 0 1 9.01735711953372e-07 0 1 0.00013736274894598 0 0 1 0.0208048311621168 0 1 7.4391209094812e-05 0 1 2.34136734428632e-49 0 1 2 0.576380149741581 0 1 4.07503810211292e-07 0 1 2.34136734428632e-49 0 0 1 0.370770068663834
"81" 81 "Stroedam" 1 2 0.834811258943064 1 2 0.99999487162679 0 1 6.43376760451813e-17 0 1 1 0.107351708905022 0 2 0.555324792596814 0 1 1.19089773166442e-07 0 0 1 0.000276004726033552 0 1 0.0390323442491667 0 1 1.19089773166442e-07 0 0 1 0.459479899033383
"82" 82 "Birkemose" 1 1 0.000199205287391515 1 2 0.999110771325684 0 1 1.14433954678811e-17 0 0 1 0.134127461547891 0 1 0.00571260255042173 0 1 0.432000946633275 0 0 1 0.00010343916069821 1 2 0.639170177148333 0 1 0.432000946633275 0 0 1 0.364857794135415
"83" 83 "Maglemose" 0 1 2.82905095515898e-06 1 1 0.0725168988851351 0 1 2.01361018097893e-24 0 0 1 0.103817481724839 0 1 1.62168881104513e-07 1 1 0.234768155429009 0 0 2 0.681959706532117 0 1 0.228742761037185 0 1 0.234768155429009 0 0 1 0.274994039603509
"84" 84 "Toggerup_Toervemose" 0 1 6.25713809747641e-07 0 1 0.00727958920660046 0 1 3.91376175821166e-32 0 0 1 0.158991248628622 0 1 1.43769837563706e-09 0 1 0.0131480241408671 0 1 2 0.855035576301264 0 1 0.122476149678768 0 1 0.0131480241408671 0 0 1 0.269420881537523
"85" 85 "Ellemose" 0 1 1.50071334228212e-05 1 2 0.514961349428876 0 1 1.52849325634694e-35 0 0 1 0.0330983052199081 0 1 2.69462621617239e-08 1 2 0.773012251564265 0 0 1 0.00552376731484384 0 2 0.800432740101615 1 2 0.773012251564265 0 0 2 0.575317392854149
