Sample;Site;Replicate
S352;SN081;R3
S353;SN082;R3
S354;SN083;R3
S355;SN084;R3
S356;SN085;R3
S357;SN086;R3
S358;SN087;R3
S359;VD045;R3
S360;VD046;R3
S361;VD047;R3
S362;VD048;R3
S363;ES064;R3
S364;SN080;R3
S365;SV088;R3
S366;Blank4_1;R3
S367;SV089;R3
S368;SV090;R3
S369;SV091;R3
S370;SV092;R3
S371;SV093;R3
S372;SV094;R3
S373;SV095;R3
S374;SM096;R3
S375;SM097;R3
S376;SM098;R3
S377;SM099;R3
S378;neg_9;R3
S379;SM100;R3
S380;SM101;R3
S381;SM102;R3
S382;SM103;R3
S383;FF105;R3
S384;FF106;R3
S385;FF107;R3
S386;FF108;R3
S387;FF109;R3
S388;FF110;R3
S389;FF111;R3
S390;FF112;R3
S391;FL113;R3
S392;FL115;R3
S393;FL116;R3
S394;FL117;R3
S395;FL118;R3
S396;FL119;R3
S397;FM121;R3
S398;FM122;R3
S399;FM123;R3
S400;Blank3_2;R3
S401;FM124;R3
S402;FM125;R3
S403;FM126;R3
S404;FM127;R3
S405;SM104;R3
S406;FL120;R3
S407;FM128;R3
S408;FM129;R3
S409;FM130;R3
S410;FL114;R3
